AREA,GENUSE,SPUSE
NORS,AF,AF_aerial
ICE,F,F_alcoholic
FOR,F,F_alcoholic
FOR,F,F_candy
FOR,F,F_candy
FOR,F,F_candy
ICE,F,F_candy
DEN,F,F_candy
SWE,F,F_candy
ICE,F,F_candy
FOR,F,F_candy
GNL,F,F_candy
NORN,F,F_candy
NORN,F,F_cereals
ICE,F,F_cereals
NORN,F,F_cereals
ICE,F,F_condiments
ICE,F,F_condiments
ICE,F,F_condiments
SWE,F,F_condiments
NORN,F,F_condiments
NORS,F,F_condiments
FOR,F,F_drinkarom
ICE,F,F_drinkarom
NORN,F,F_drinkarom
NORS,F,F_drinkarom
FOR,F,F_additives
FOR,F,F_leafveg
GNL,F,F_leafveg
FOR,F,F_leafveg
ICE,F,F_leafveg
GNL,F,F_leafveg
NORN,F,F_leafveg
NORS,F,F_leafveg
ICE,F,F_leafveg
DEN,F,F_leafveg
SWE,F,F_leafveg
SWE,F,F_leafveg
NORN,F,F_leafveg
NORN,F,F_non-alcoholic
NORS,F,F_non-alcoholic
ICE,F,F_non-alcoholic
SWE,F,F_other
NORS,F,F_preservatives
GNL,F,F_rootveg
ICE,F,F_rootveg
FOR,F,F_rootveg
ICE,F,F_rootveg
SWE,F,F_rootveg
ICE,IC,IC_cosmetics
NORN,IC,IC_cosmetics
NORS,IC,IC_cosmetics
ICE,IC,IC_music
SWE,IC,IC_music
NORS,IC,IC_tools
NORN,IC,IC_tools
DEN,M,M_blood
DEN,M,M_culture-bound-syndromes
ICE,M,M_digestive
DEN,M,M_digestive
NORN,M,M_digestive
NORS,M,M_digestive
DEN,M,M_ear
DEN,M,M_endocrine
SWE,M,M_endocrine
DEN,M,M_femalegen
FOR,F,F_leafveg
FOR,M,M_general
FOR,M,M_general
ICE,M,M_general
FOR,M,M_general
NORN,M,M_general
NORS,M,M_general
ICE,M,M_general
DEN,M,M_general
SWE,M,M_general
SWE,M,M_general
NORS,M,M_general
DEN,M,M_injuries
DEN,M,M_musculoskeletal
DEN,M,M_neurological
DEN,M,M_other
FOR,M,M_other
SWE,M,M_other
NORN,M,M_other
NORS,M,M_other
ICE,M,M_respiratory
DEN,M,M_respiratory
SWE,M,M_respiratory
DEN,M,M_social
DEN,M,M_urological
SWE,SSR,SSR_alucinogen
NORN,SSR,SSR_alucinogen
NORS,SSR,SSR_alucinogen
NORS,SSR,SSR_entertainment
NORN,SSR,SSR_entertainment
GNL,SSR,SSR_entertainment
ICE,SSR,SSR_entertainment
NORN,SSR,SSR_other
NORS,SSR,SSR_other
NORS,SSR,SSR_other
FOR,SSR,SSR_uncertainty
ICE,SSR,SSR_uncertainty
FOR,SSR,SSR_uncertainty
SWE,SSR,SSR_uncertainty
DEN,V,V_conception
FOR,V,V_conception
NORS,V,V_conception
DEN,V,V_culture-bound-syndromes
DEN,V,V_general
FOR,V,V_injuries
DEN,V,V_other
NORS,V,V_other
NORN,V,V_other
FOR,V,V_urological
OLD,SSR,SSR_orallit
OLD,IC,IC_tools
OLD,F,F_leafveg